NUISANCE_PARAMETERS
BB  0.745517 +0.0302747 -0.0302747
gamma_stat_nmjmeanSd0_bin_30  1.00356 +0.0249386 -0.0249386
gamma_stat_nmjmeanSd0_bin_31  0.987348 +0.0298002 -0.0298002
gamma_stat_nmjmeanSd0_bin_32  1.02381 +0.0414106 -0.0414106
gamma_stat_nmjmeanSd0_bin_33  0.999957 +0.0298933 -0.0298933
gamma_stat_nmjmeanSd0_bin_34  1.00267 +0.0322028 -0.0322028
gamma_stat_nmjmeanSd0_bin_35  0.988605 +0.0398298 -0.0398298
gamma_stat_nmjmeanSd0_bin_36  0.995084 +0.0375158 -0.0375158
gamma_stat_nmjmeanSd0_bin_37  0.978014 +0.040232 -0.040232
gamma_stat_nmjmeanSd0_bin_38  1.004 +0.0477016 -0.0477016
gamma_stat_nmjmeanSd0_bin_39  0.948978 +0.0568658 -0.0568658
gamma_stat_nmjmeanSd0_bin_4  1.05737 +0.135661 -0.135661
gamma_stat_nmjmeanSd0_bin_40  1.02306 +0.0553435 -0.0553435
gamma_stat_nmjmeanSd0_bin_41  0.978353 +0.0649421 -0.0649421
gamma_stat_nmjmeanSd0_bin_42  1.03527 +0.0587633 -0.0587633
gamma_stat_nmjmeanSd0_bin_43  1.01318 +0.0648256 -0.0648256
gamma_stat_nmjmeanSd0_bin_44  1.04113 +0.0637679 -0.0637679
gamma_stat_nmjmeanSd0_bin_45  0.994672 +0.102549 -0.102549
gamma_stat_nmjmeanSd0_bin_46  1.01952 +0.105151 -0.105151
gamma_stat_nmjmeanSd0_bin_47  1.01737 +0.0690836 -0.0690836
gamma_stat_nmjmeanSd0_bin_48  1.01657 +0.0751951 -0.0751951
gamma_stat_nmjmeanSd0_bin_49  0.99319 +0.0939799 -0.0939799
gamma_stat_nmjmeanSd0_bin_5  1.03856 +0.100735 -0.100735
gamma_stat_nmjmeanSd0_bin_50  0.996961 +0.101374 -0.101374
gamma_stat_nmjmeanSd0_bin_51  0.943752 +0.156759 -0.156759
gamma_stat_nmjmeanSd0_bin_52  1.02048 +0.147995 -0.147995
gamma_stat_nmjmeanSd0_bin_53  1.00036 +0.0713112 -0.0713112
gamma_stat_nmjmeanSd0_bin_6  1.04932 +0.0923201 -0.0923201
gamma_stat_nmjmeanSd0_bin_7  0.999284 +0.117837 -0.117837
gamma_stat_nmjmeanSd0_bin_8  0.999759 +0.0878937 -0.0878937
gamma_stat_nmjmeanSd0_bin_9  1.03273 +0.0771427 -0.0771427


CORRELATION_MATRIX
134   134
-0.0304239   -0.0176146   -0.0205823   -0.00956587   -0.00683936   -0.0224188   -0.0273687   -0.0156549   -0.0101252   -0.0204984   -0.0181961   -0.0232325   -0.0342681   -0.0332154   -0.037214   -0.0420943   -0.0354181   -0.0494064   -0.0557938   -0.0169179   -0.0583825   -0.0545362   -0.0556896   -0.0717852   -0.0717949   -0.0633795   -0.0709243   -0.11296   -0.0926529   -0.0916111   -0.0104829   -0.0958278   -0.096432   -0.0794085   -0.0124673   0.0102785   0.00650241   -0.00939806   -0.0156497   -0.0176361   -0.0133531   -0.0165811   -0.00572714   -0.00980849   0.00387091   -0.000927754   -0.00112542   0.000922067   -0.00183014   -0.000921122   -0.000587718   -0.00236706   -0.00316223   -0.00322495   -0.00236674   -0.00588592   -0.00604366   -0.00872684   -0.00887062   -0.0081596   -0.00920881   -0.00953795   -0.00974672   -0.0115226   -0.00993949   -0.00437883   -0.0112963   -0.00914768   -0.0104702   0.000293276   -0.00111314   -0.000459218   0.00410787   0.0078145   0.00531426   -0.00204376   -0.000512832   -0.000972708   -0.00139637   0.00212355   -0.00479068   -0.00363973   0.00361305   -0.00816971   -0.0103934   -0.00548488   -0.00354114   -0.0112608   -0.006412   -0.0127558   -0.00957858   -0.0107696   -0.005787   -0.00392765   -0.00930267   -0.0121897   -0.0163633   -0.0123694   -0.0198445   0.000393939   0.000725239   0.00938536   0.00713894   0.0106723   0.000818051   0.00277066   -0.00193347   0.00474658   0.00154272   0.00136817   0.00766475   0.00295807   -0.000555747   0.00130866   -0.000245869   0.000702935   0.000926625   -0.000642227   -0.00118914   -0.00132607   -0.000857918   0.00337983   -0.000912837   0.000228844   0.000411064   0.00123561   0.0003274   0.000273606   -0.910919   -0.0088721   0.495943   -0.687226   -0.529038   1   
0.0174568   0.00341835   0.00878942   0.00324572   0.00371354   0.0115502   0.0144668   0.00927588   0.0103702   0.0118712   0.0107462   0.0152783   0.0190367   0.0170267   0.0203396   0.0242053   0.0201648   0.0292477   0.0303742   0.00630546   0.0305827   0.0291681   0.031996   0.0385295   0.0370973   0.0349012   0.0417603   0.0588368   0.0496647   0.048608   0.00289387   0.0515283   0.0550761   0.0438675   0.00597774   -0.00617624   -0.00833029   0.00294756   0.00878004   0.00639718   0.0101426   0.00998625   0.00249812   0.00647606   -0.00386082   0.00155407   0.00278226   -0.000473896   0.00305425   0.00139898   0.000884308   0.00306499   0.00378817   0.00404249   0.00292434   0.00856907   0.00891168   0.0111401   0.0115138   0.0111733   0.0129921   0.0125476   0.0136731   0.0149425   0.0143473   0.00370611   0.016319   0.0168278   0.0158232   -0.000344192   0.00119907   -0.0180515   -0.0194975   -0.0323643   -0.0208011   -0.00486946   -0.00873816   -0.0146859   -0.0152745   -0.0175773   -0.0127908   -0.0148249   -0.0176844   -0.0100537   -0.0129458   -0.017818   -0.0242231   -0.0145763   -0.0236629   -0.0295838   -0.0268345   -0.0234791   -0.0303928   -0.0180029   -0.0336033   -0.0287846   -0.0324072   -0.0350206   -0.0521892   -0.0128697   -0.0186946   -0.017666   -0.0169686   -0.0178137   -0.0153012   -0.0202505   -0.00664545   -0.0228338   -0.00134141   -0.000343484   -0.00520429   -0.00336102   -0.00110833   -0.00157186   -0.00147774   -0.00510422   -0.00260109   -0.00203192   -0.00159393   -0.00326043   -0.00171711   -0.00797259   -0.0029624   -0.00387871   -0.00127754   -0.00636021   -0.00212524   -0.000605244   0.379043   0.398641   -0.686439   0.320897   1   -0.529038   
