NUISANCE_PARAMETERS
BB  0.636175 +0.0228029 -0.0228029
gamma_stat_nmjmeanSd0_bin_57  0.975985 +0.201977 -0.201977
gamma_stat_nmjmeanSd0_bin_58  1.04223 +0.172237 -0.172237
gamma_stat_nmjmeanSd0_bin_59  1.02205 +0.140476 -0.140476
gamma_stat_nmjmeanSd0_bin_6  1.00793 +0.100954 -0.100954
gamma_stat_nmjmeanSd0_bin_7  1.03868 +0.0738872 -0.0738872
gamma_stat_nmjmeanSd0_bin_8  1.067 +0.0798146 -0.0798146
gamma_stat_nmjmeanSd0_bin_9  1.01972 +0.063175 -0.063175


CORRELATION_MATRIX
147   147
-0.0157555   -0.0119421   -0.0117636   -0.0132874   -0.00387129   -0.0043451   -0.0122502   -0.00679491   -0.00709921   -0.00976882   -0.00577988   -0.0128448   -0.0144723   -0.0189105   -0.0118574   -0.0136714   -0.0116255   -0.022132   -0.0173241   -0.0241696   -0.0249001   -0.0337478   -0.0379277   -0.0359425   -0.0383337   -0.00664042   -0.0402984   -0.0482225   -0.0537823   -0.0481669   -0.0674298   -0.0642567   -0.0612165   -0.0674582   -0.0769234   -0.010418   -0.0042517   -0.0196629   -0.0180183   -0.0161493   -0.0163066   -0.0209168   -0.0126212   -0.00400171   -0.00323596   -0.00230996   -0.00212805   -0.0027359   0.000402575   0.000227682   -0.000489693   -0.00148043   -0.00208042   -0.00180225   -0.00391345   -0.00321456   -0.00486896   -0.00510687   -0.00603914   -0.00596166   -0.0058856   -0.00835349   -0.00799382   -0.00767154   -0.000496461   -0.00918087   -0.0119631   -0.000261917   0.00296551   -0.00060029   -0.00264809   0.00036439   -0.00135245   -0.000658425   -0.000527014   0.00187652   -0.00248997   0.00179954   0.0018118   -0.00356603   -0.00194106   -0.00125904   -0.00212568   -0.00255554   -0.00235147   -0.00302867   -0.00149983   -0.00432285   -0.0057265   -0.00228743   -0.00439951   -0.00647336   -0.00423565   -0.00660477   -0.0040146   -0.00306949   -0.00689086   -0.00676188   -0.00833513   -0.00778911   -0.000801326   7.58012e-05   0.00195768   0.00277662   -0.000292813   -0.00505095   -0.000710749   0.000323081   0.00308355   -0.00114517   -0.000638316   -0.000674349   0.00070828   -0.000564816   -0.000200065   -0.000676338   -0.000656358   -0.000607545   -0.000901569   -0.000403504   -0.0013851   -0.000554964   -0.000480681   -0.0015447   -0.00243501   -0.00178642   0.000208932   -0.000792252   -0.00100046   -0.000467339   -0.00132229   -0.00127056   -0.000348243   0.000739453   0.000968257   0.0021435   0.000372698   0.00059487   -0.000580343   -0.000700032   -3.12269e-05   -0.915811   0.0270145   0.503665   -0.681155   -0.573903   1   
0.00999814   0.00401673   0.00657867   0.00585365   0.00285099   0.00114132   0.00725689   0.00439314   0.00525563   0.00553342   0.00501278   0.0083819   0.00750377   0.00959639   0.00530105   0.00702397   0.00517149   0.0137663   0.00946965   0.0136418   0.0147052   0.0213495   0.0213449   0.0204149   0.0209791   0.00437722   0.0228864   0.0283555   0.0302676   0.0289456   0.0384997   0.0402817   0.0372384   0.0406587   0.0450021   0.00464486   0.00369161   0.00906284   0.00926203   0.00714729   0.0106976   0.0109954   0.0084481   0.00112502   0.00132892   0.00270984   0.00196197   0.00307309   0.00046451   0.000356025   0.000590243   0.00178217   0.00231283   0.0015684   0.00465994   0.00369606   0.00557796   0.00599125   0.00652646   0.00697035   0.00769896   0.00952083   0.00947023   0.00947946   0.000569585   0.0118552   0.0143506   -6.8201e-06   -0.00233074   0.00233041   0.00287026   0.00028023   0.000984777   0.000978347   0.000547375   -0.0163719   -0.0116233   -0.016122   -0.0140962   -0.0059764   -0.00624914   -0.00878218   -0.00775784   -0.00651786   -0.00787538   -0.00882234   -0.015751   -0.0104914   -0.00922293   -0.00845149   -0.0137849   -0.0114175   -0.012018   -0.0131715   -0.0219389   -0.0176218   -0.0185098   -0.0192848   -0.0189726   -0.0310015   -0.0139653   -0.0136333   -0.0138644   -0.0156295   -0.0123836   -0.00931743   -0.0088283   -0.00621311   -0.00439102   0.000495883   -0.000715422   9.32298e-05   -0.00118324   0.000192586   -0.000198808   -0.000351101   -0.000729026   -0.000990849   -0.000739752   -0.00102856   -0.000286453   -0.00161905   -0.000594932   1.97528e-05   0.000627833   -0.000703254   -0.00293703   -0.00230629   -0.00188909   -0.00226015   -0.00189867   0.00058351   -0.000398152   -0.000529928   -0.00237938   -0.00202442   -0.00208469   -0.000408959   -0.000155768   0.0004596   -0.00053481   0.429716   0.35873   -0.709692   0.340799   1   -0.573903   
0.0119558   0.00860845   0.0096779   0.0108916   0.00236687   0.00146117   0.0095166   0.00441136   0.00499256   0.00654876   -0.000356045   0.00964241   0.00767382   0.0131482   0.00979764   0.0100199   0.00569012   0.0158731   0.0104053   0.0141935   0.0160276   0.0224832   0.0243801   0.0243982   0.026267   0.00363726   0.0280943   0.0342516   0.0347062   0.0276832   0.0456594   0.0430835   0.0382361   0.0402386   0.0449091   0.00850204   0.00173855   1.27365e-06   0.00554189   0.00185252   0.00378039   0.0129141   0.00824528   0.00430104   0.002115   0.00254068   0.00253926   0.00342088   -0.000833181   -0.000335446   0.00046145   0.00136077   0.00209832   0.00266839   0.00365436   0.00335495   0.0046474   0.00494516   0.00581891   0.00555309   0.00507123   0.00838843   0.00792911   0.0067726   0.000505049   0.00838969   0.0110518   0.000494809   -0.00350237   6.77373e-05   0.00346496   -0.000776859   0.00144778   0.000717586   0.000665144   -0.000222431   0.00320179   0.000403973   6.4451e-05   0.0025151   0.00195455   0.00138597   0.00177061   0.00160869   0.00229563   0.00295632   0.00192015   0.00341315   0.00475836   0.00433904   0.00423068   0.00553469   0.00386288   0.00591425   0.00417183   0.00280859   0.00572401   0.00544767   0.00777297   0.00695047   0.00281067   -0.000597144   -0.000600396   -6.11233e-05   0.00250272   0.00778145   0.00242274   0.000666588   -0.00259434   0.00198539   0.00165273   0.00129979   -0.000469441   0.000763835   0.000430148   0.00123677   0.00141305   0.00150713   0.00188853   0.00117113   0.00229813   0.00170772   0.00134979   0.00236118   0.00352021   0.00311188   0.00110681   0.00255499   0.00249892   0.00186975   0.00318216   0.00176148   0.000717728   6.29582e-05   0.000390759   -0.00224706   0.000992476   -0.000144073   0.00187317   0.00111046   0.000357437   0.584343   -0.0646762   -0.692409   1   0.340799   -0.681155   
-0.0105161   -0.0041664   -0.00797279   -0.00583209   -0.00275666   0.000498753   -0.00630327   -0.00415245   -0.00518924   -0.00514552   -0.00164432   -0.00821865   -0.00421819   -0.0078178   -0.00648674   -0.00669874   -0.0027545   -0.0130729   -0.00736027   -0.0106143   -0.0126584   -0.0186973   -0.0173196   -0.0178448   -0.0188358   -0.0030951   -0.0209053   -0.0262199   -0.0252033   -0.0221197   -0.032754   -0.035744   -0.0310928   -0.0316181   -0.0340703   -0.00544151   -0.00276243   0.000823915   -0.00351204   -0.000275503   -0.00527324   -0.00928019   -0.00861513   -0.00219992   -0.00146557   -0.00296197   -0.00239537   -0.00398972   -5.15111e-05   -0.000160821   -0.000540911   -0.00158328   -0.00225392   -0.00266592   -0.00420377   -0.00381257   -0.00511525   -0.00563231   -0.00586551   -0.00609989   -0.00649007   -0.00925194   -0.00914835   -0.00803211   -0.000566775   -0.0106687   -0.012501   -0.000246604   0.00279453   -0.00189341   -0.00383424   0.000149059   -0.00089481   -0.00109772   -0.00071993   0.00794085   0.00431681   0.0082965   0.00759512   0.0035033   0.00344353   0.00531935   0.00477246   0.00415013   0.00458286   0.00488877   0.0101604   0.00644415   0.00483388   0.00201792   0.00811168   0.00604327   0.00675849   0.0070853   0.0139148   0.0108158   0.0111177   0.0115652   0.0100678   0.0189995   0.00795103   0.0101947   0.00921519   0.00170935   0.00125955   -0.00181835   0.00418492   0.00314772   0.00380624   -0.00149241   -0.000421559   -0.000765279   0.000891705   -0.000378425   -4.71251e-05   -0.000228033   -6.65665e-05   2.37122e-05   -0.000319399   0.000207549   -0.000641456   0.000388338   -0.00041312   -0.000773063   -0.0017216   -0.000636473   0.00153115   0.000376874   0.000315218   0.000766402   -0.000118543   -0.000967452   4.25073e-05   -0.000630891   0.000633984   0.00199163   0.000394028   -0.000306225   -0.00138883   -0.000973535   0.000185007   -0.378012   -0.567579   1   -0.692409   -0.709692   0.503665   
