NUISANCE_PARAMETERS
BB  0.598377 +0.0597151 -0.0597151
gamma_stat_nmjmeanSd0_bin_12  0.978487 +0.137542 -0.137542
gamma_stat_nmjmeanSd0_bin_13  1.00299 +0.0668401 -0.0668401
gamma_stat_nmjmeanSd0_bin_14  1.01795 +0.0568684 -0.0568684
gamma_stat_nmjmeanSd0_bin_15  1.02425 +0.0660138 -0.0660138
gamma_stat_nmjmeanSd0_bin_16  1.01032 +0.0378438 -0.0378438
gamma_stat_nmjmeanSd0_bin_17  0.988614 +0.0249301 -0.0249301
gamma_stat_nmjmeanSd0_bin_2  0.972565 +0.198778 -0.198778
gamma_stat_nmjmeanSd0_bin_23  0.992512 +0.0283557 -0.0283557
gamma_stat_nmjmeanSd0_bin_24  1.0008 +0.0235046 -0.0235046
gamma_stat_nmjmeanSd0_bin_25  1.00291 +0.0273744 -0.0273744
gamma_stat_nmjmeanSd0_bin_26  1.00168 +0.0348233 -0.0348233
gamma_stat_nmjmeanSd0_bin_27  0.997158 +0.0379789 -0.0379789
gamma_stat_nmjmeanSd0_bin_28  1.00236 +0.0311826 -0.0311826
gamma_stat_nmjmeanSd0_bin_29  1.00605 +0.0368762 -0.0368762
gamma_stat_nmjmeanSd0_bin_3  1.02932 +0.190513 -0.190513
gamma_stat_nmjmeanSd0_bin_30  1.00434 +0.0478902 -0.0478902
gamma_stat_nmjmeanSd0_bin_31  1.00326 +0.0483458 -0.0483458
gamma_stat_nmjmeanSd0_bin_32  0.993215 +0.050054 -0.050054
gamma_stat_nmjmeanSd0_bin_33  0.978538 +0.0562311 -0.0562311
gamma_stat_nmjmeanSd0_bin_34  0.998761 +0.0874305 -0.0874305
gamma_stat_nmjmeanSd0_bin_35  0.999447 +0.0720432 -0.0720432
gamma_stat_nmjmeanSd0_bin_36  1.05443 +0.0906311 -0.0906311
gamma_stat_nmjmeanSd0_bin_37  1.02147 +0.0774703 -0.0774703
gamma_stat_nmjmeanSd0_bin_38  0.993016 +0.0712949 -0.0712949
gamma_stat_nmjmeanSd0_bin_39  1.02319 +0.0762014 -0.0762014
gamma_stat_nmjmeanSd0_bin_4  1.08642 +0.206689 -0.206689
