NUISANCE_PARAMETERS
BB  0.647863 +0.059729 -0.059729
gamma_stat_nmjmeanSd0_bin_28  0.979322 +0.0389381 -0.0389381
gamma_stat_nmjmeanSd0_bin_29  0.973529 +0.0446667 -0.0446667
gamma_stat_nmjmeanSd0_bin_3  1.10728 +0.161355 -0.161355
gamma_stat_nmjmeanSd0_bin_30  1.00736 +0.0389875 -0.0389875
gamma_stat_nmjmeanSd0_bin_31  1.00263 +0.0437666 -0.0437666
gamma_stat_nmjmeanSd0_bin_32  1.0162 +0.0454042 -0.0454042
gamma_stat_nmjmeanSd0_bin_33  0.963014 +0.0553267 -0.0553267
gamma_stat_nmjmeanSd0_bin_34  1.01138 +0.0596451 -0.0596451
gamma_stat_nmjmeanSd0_bin_35  1.0065 +0.0659135 -0.0659135
gamma_stat_nmjmeanSd0_bin_36  0.998319 +0.0686805 -0.0686805
gamma_stat_nmjmeanSd0_bin_37  1.0112 +0.0758294 -0.0758294
gamma_stat_nmjmeanSd0_bin_38  0.976897 +0.0797131 -0.0797131
gamma_stat_nmjmeanSd0_bin_39  1.01607 +0.0848283 -0.0848283
gamma_stat_nmjmeanSd0_bin_4  0.896461 +0.135575 -0.135575
gamma_stat_nmjmeanSd0_bin_40  0.98724 +0.0837773 -0.0837773
gamma_stat_nmjmeanSd0_bin_41  1.03483 +0.0982425 -0.0982425
gamma_stat_nmjmeanSd0_bin_42  1.02617 +0.0752079 -0.0752079
gamma_stat_nmjmeanSd0_bin_43  1.03538 +0.0964042 -0.0964042
gamma_stat_nmjmeanSd0_bin_44  1.00842 +0.103479 -0.103479
gamma_stat_nmjmeanSd0_bin_45  1.00969 +0.122149 -0.122149
gamma_stat_nmjmeanSd0_bin_46  0.960967 +0.109148 -0.109148
gamma_stat_nmjmeanSd0_bin_47  1.09413 +0.169848 -0.169848
gamma_stat_nmjmeanSd0_bin_48  0.838803 +0.217136 -0.217136
gamma_stat_nmjmeanSd0_bin_49  1.2837 +0.293749 -0.293749
gamma_stat_nmjmeanSd0_bin_5  1.06396 +0.126557 -0.126557
gamma_stat_nmjmeanSd0_bin_50  1.03349 +0.121745 -0.121745
gamma_stat_nmjmeanSd0_bin_51  1.05123 +0.281831 -0.281831
gamma_stat_nmjmeanSd0_bin_52  1.00165 +0.164295 -0.164295
gamma_stat_nmjmeanSd0_bin_53  1.03931 +0.227153 -0.227153
gamma_stat_nmjmeanSd0_bin_54  1.01107 +0.150694 -0.150694
gamma_stat_nmjmeanSd0_bin_6  1.07642 +0.116341 -0.116341
gamma_stat_nmjmeanSd0_bin_7  1.01656 +0.110517 -0.110517
gamma_stat_nmjmeanSd0_bin_8  0.976068 +0.108141 -0.108141
gamma_stat_nmjmeanSd0_bin_9  0.993758 +0.0789219 -0.0789219


CORRELATION_MATRIX
158   158
