NUISANCE_PARAMETERS
BB  0.609189 +0.0415752 -0.0415752
gamma_stat_nmjmeanSd0_bin_44  0.97846 +0.0833887 -0.0833887
gamma_stat_nmjmeanSd0_bin_45  1.00672 +0.136638 -0.136638
gamma_stat_nmjmeanSd0_bin_46  1.01169 +0.09306 -0.09306
gamma_stat_nmjmeanSd0_bin_47  1.01227 +0.105317 -0.105317
gamma_stat_nmjmeanSd0_bin_48  0.982001 +0.127112 -0.127112
gamma_stat_nmjmeanSd0_bin_49  1.00284 +0.118463 -0.118463
gamma_stat_nmjmeanSd0_bin_5  0.977262 +0.117791 -0.117791
gamma_stat_nmjmeanSd0_bin_50  1.02771 +0.127982 -0.127982
gamma_stat_nmjmeanSd0_bin_51  1.02415 +0.129842 -0.129842
gamma_stat_nmjmeanSd0_bin_52  0.998786 +0.0924884 -0.0924884
gamma_stat_nmjmeanSd0_bin_53  1.00207 +0.155306 -0.155306
gamma_stat_nmjmeanSd0_bin_6  1.00231 +0.131233 -0.131233
gamma_stat_nmjmeanSd0_bin_7  1.00778 +0.0914508 -0.0914508
gamma_stat_nmjmeanSd0_bin_8  1.03942 +0.0816916 -0.0816916
gamma_stat_nmjmeanSd0_bin_9  0.978075 +0.090393 -0.090393


CORRELATION_MATRIX
144   144
