NUISANCE_PARAMETERS
BB  0.555817 +0.0648904 -0.0648904
gamma_stat_nmjmeanSd0_bin_28  0.992843 +0.0265959 -0.0265959
gamma_stat_nmjmeanSd0_bin_29  1.00292 +0.027547 -0.027547
gamma_stat_nmjmeanSd0_bin_3  0.930138 +0.0833478 -0.0833478
gamma_stat_nmjmeanSd0_bin_30  0.99761 +0.0301848 -0.0301848
gamma_stat_nmjmeanSd0_bin_31  1.00792 +0.0326614 -0.0326614
gamma_stat_nmjmeanSd0_bin_32  1.01435 +0.0353156 -0.0353156
gamma_stat_nmjmeanSd0_bin_33  0.985613 +0.0368354 -0.0368354
gamma_stat_nmjmeanSd0_bin_34  1.00923 +0.0383449 -0.0383449
gamma_stat_nmjmeanSd0_bin_35  1.01198 +0.0459563 -0.0459563
gamma_stat_nmjmeanSd0_bin_36  1.02301 +0.0523519 -0.0523519
gamma_stat_nmjmeanSd0_bin_37  1.00528 +0.0565731 -0.0565731
gamma_stat_nmjmeanSd0_bin_38  1.00738 +0.0576725 -0.0576725
gamma_stat_nmjmeanSd0_bin_39  1.0194 +0.0565516 -0.0565516
gamma_stat_nmjmeanSd0_bin_4  1.03643 +0.0705316 -0.0705316
gamma_stat_nmjmeanSd0_bin_40  0.969642 +0.0652617 -0.0652617
gamma_stat_nmjmeanSd0_bin_41  0.996008 +0.0758614 -0.0758614
gamma_stat_nmjmeanSd0_bin_42  0.991842 +0.0670283 -0.0670283
gamma_stat_nmjmeanSd0_bin_43  1.02042 +0.0677492 -0.0677492
gamma_stat_nmjmeanSd0_bin_44  0.976328 +0.0848716 -0.0848716
gamma_stat_nmjmeanSd0_bin_45  1.03119 +0.0807686 -0.0807686
gamma_stat_nmjmeanSd0_bin_46  1.04787 +0.0979146 -0.0979146
gamma_stat_nmjmeanSd0_bin_47  1.11292 +0.131399 -0.131399
gamma_stat_nmjmeanSd0_bin_48  0.936937 +0.112449 -0.112449
gamma_stat_nmjmeanSd0_bin_49  1.02779 +0.128208 -0.128208
gamma_stat_nmjmeanSd0_bin_5  0.990304 +0.0660446 -0.0660446
gamma_stat_nmjmeanSd0_bin_50  1.01959 +0.118158 -0.118158
gamma_stat_nmjmeanSd0_bin_51  0.969341 +0.134687 -0.134687
gamma_stat_nmjmeanSd0_bin_52  0.973305 +0.129756 -0.129756
gamma_stat_nmjmeanSd0_bin_53  0.979187 +0.114217 -0.114217
gamma_stat_nmjmeanSd0_bin_54  1.05456 +0.12471 -0.12471
gamma_stat_nmjmeanSd0_bin_55  1.00335 +0.127638 -0.127638
gamma_stat_nmjmeanSd0_bin_56  1.00097 +0.201223 -0.201223
gamma_stat_nmjmeanSd0_bin_57  1.02625 +0.145546 -0.145546
gamma_stat_nmjmeanSd0_bin_58  0.842938 +0.28536 -0.28536
gamma_stat_nmjmeanSd0_bin_6  1.01884 +0.0675533 -0.0675533
gamma_stat_nmjmeanSd0_bin_7  1.01373 +0.0556932 -0.0556932
gamma_stat_nmjmeanSd0_bin_8  1.02706 +0.0545403 -0.0545403
gamma_stat_nmjmeanSd0_bin_9  0.98943 +0.0442588 -0.0442588


CORRELATION_MATRIX
168   168
