NUISANCE_PARAMETERS
BB  0.574304 +0.052258 -0.052258
gamma_stat_nmjmeanSd0_2TAG_bin_34  1.00514 +0.0657667 -0.0657667
gamma_stat_nmjmeanSd0_2TAG_bin_35  0.98575 +0.0987862 -0.0987862
gamma_stat_nmjmeanSd0_2TAG_bin_36  0.999223 +0.0903712 -0.0903712
gamma_stat_nmjmeanSd0_2TAG_bin_37  0.989552 +0.0671257 -0.0671257
gamma_stat_nmjmeanSd0_2TAG_bin_38  1.00748 +0.105514 -0.105514
gamma_stat_nmjmeanSd0_2TAG_bin_39  0.998226 +0.0509816 -0.0509816
gamma_stat_nmjmeanSd0_2TAG_bin_4  1.00315 +0.0977607 -0.0977607
gamma_stat_nmjmeanSd0_2TAG_bin_40  0.997421 +0.107886 -0.107886
gamma_stat_nmjmeanSd0_2TAG_bin_41  1.00076 +0.0845043 -0.0845043
gamma_stat_nmjmeanSd0_2TAG_bin_5  1.00437 +0.080551 -0.080551
gamma_stat_nmjmeanSd0_2TAG_bin_6  0.999289 +0.0762416 -0.0762416
gamma_stat_nmjmeanSd0_2TAG_bin_7  1.05209 +0.122172 -0.122172
gamma_stat_nmjmeanSd0_2TAG_bin_8  1.0021 +0.0606483 -0.0606483
gamma_stat_nmjmeanSd0_2TAG_bin_9  1.0015 +0.0551803 -0.0551803
gamma_stat_nmjmeanSd0_bin_0  1.0259 +0.131065 -0.131065
gamma_stat_nmjmeanSd0_bin_1  0.996686 +0.135886 -0.135886
gamma_stat_nmjmeanSd0_bin_10  1.01221 +0.0741823 -0.0741823
gamma_stat_nmjmeanSd0_bin_11  0.989983 +0.0894216 -0.0894216
gamma_stat_nmjmeanSd0_bin_12  1.04855 +0.0642923 -0.0642923
gamma_stat_nmjmeanSd0_bin_13  1.00462 +0.0474741 -0.0474741
gamma_stat_nmjmeanSd0_bin_14  1.00405 +0.0422259 -0.0422259
gamma_stat_nmjmeanSd0_bin_15  1.01159 +0.0370098 -0.0370098
gamma_stat_nmjmeanSd0_bin_16  1.01034 +0.029194 -0.029194
gamma_stat_nmjmeanSd0_bin_17  1.00456 +0.0225872 -0.0225872
gamma_stat_nmjmeanSd0_bin_2  1.08468 +0.217394 -0.217394
gamma_stat_nmjmeanSd0_bin_23  0.996627 +0.0213465 -0.0213465
gamma_stat_nmjmeanSd0_bin_24  1.00101 +0.0239078 -0.0239078
gamma_stat_nmjmeanSd0_bin_25  0.998087 +0.0245001 -0.0245001
gamma_stat_nmjmeanSd0_bin_26  0.994509 +0.0306831 -0.0306831
gamma_stat_nmjmeanSd0_bin_27  0.997867 +0.02741 -0.02741
gamma_stat_nmjmeanSd0_bin_28  1.00221 +0.0294418 -0.0294418
gamma_stat_nmjmeanSd0_bin_29  1.00296 +0.0314648 -0.0314648
gamma_stat_nmjmeanSd0_bin_3  0.93208 +0.147635 -0.147635
gamma_stat_nmjmeanSd0_bin_30  1.00553 +0.0357416 -0.0357416
gamma_stat_nmjmeanSd0_bin_31  1.01061 +0.0461134 -0.0461134
gamma_stat_nmjmeanSd0_bin_32  0.989622 +0.0403996 -0.0403996
gamma_stat_nmjmeanSd0_bin_33  1.00294 +0.0482334 -0.0482334
gamma_stat_nmjmeanSd0_bin_34  0.99677 +0.05592 -0.05592
gamma_stat_nmjmeanSd0_bin_35  0.999372 +0.0509694 -0.0509694
gamma_stat_nmjmeanSd0_bin_36  1.00379 +0.043927 -0.043927
gamma_stat_nmjmeanSd0_bin_37  1.00115 +0.0760716 -0.0760716
gamma_stat_nmjmeanSd0_bin_38  1.01078 +0.0572982 -0.0572982
gamma_stat_nmjmeanSd0_bin_39  1.00455 +0.0493376 -0.0493376
gamma_stat_nmjmeanSd0_bin_4  1.05168 +0.19998 -0.19998
gamma_stat_nmjmeanSd0_bin_40  0.965689 +0.10613 -0.10613
gamma_stat_nmjmeanSd0_bin_41  0.988623 +0.0819062 -0.0819062
gamma_stat_nmjmeanSd0_bin_42  0.992574 +0.0679338 -0.0679338
gamma_stat_nmjmeanSd0_bin_43  1.00736 +0.0884218 -0.0884218
gamma_stat_nmjmeanSd0_bin_44  0.989581 +0.0825349 -0.0825349
gamma_stat_nmjmeanSd0_bin_45  1.01626 +0.105778 -0.105778
gamma_stat_nmjmeanSd0_bin_46  0.997391 +0.0877408 -0.0877408
gamma_stat_nmjmeanSd0_bin_47  1.01977 +0.163613 -0.163613
gamma_stat_nmjmeanSd0_bin_48  0.993394 +0.0988122 -0.0988122
gamma_stat_nmjmeanSd0_bin_49  0.986357 +0.0930335 -0.0930335
gamma_stat_nmjmeanSd0_bin_5  1.02995 +0.134962 -0.134962
gamma_stat_nmjmeanSd0_bin_50  0.993475 +0.120664 -0.120664
gamma_stat_nmjmeanSd0_bin_51  0.9911 +0.154195 -0.154195
gamma_stat_nmjmeanSd0_bin_52  1.00632 +0.12395 -0.12395
gamma_stat_nmjmeanSd0_bin_53  0.998766 +0.154281 -0.154281
gamma_stat_nmjmeanSd0_bin_54  1.06186 +0.185407 -0.185407
gamma_stat_nmjmeanSd0_bin_55  0.936185 +0.298318 -0.298318
gamma_stat_nmjmeanSd0_bin_56  0.981245 +0.143578 -0.143578
gamma_stat_nmjmeanSd0_bin_57  1.02369 +0.143238 -0.143238
gamma_stat_nmjmeanSd0_bin_58  0.997168 +0.213947 -0.213947
gamma_stat_nmjmeanSd0_bin_6  1.0093 +0.115905 -0.115905
gamma_stat_nmjmeanSd0_bin_7  1.0404 +0.12834 -0.12834
gamma_stat_nmjmeanSd0_bin_8  1.00282 +0.0914879 -0.0914879
gamma_stat_nmjmeanSd0_bin_9  1.02496 +0.0869187 -0.0869187


CORRELATION_MATRIX
173   173
-0.00990287   -0.00693597   -0.0111609   -0.00503829   -0.00613554   -0.00840835   -0.00658543   -0.0178353   -0.00986192   -0.00596141   -0.0133397   -0.0154407   -0.0186343   -0.00582795   -0.0161502   -0.0190473   -0.0256944   -0.0187791   -0.0239254   -0.0233338   -0.0307008   -0.0206338   -0.0328221   -0.0446987   -0.00275067   -0.0285458   -0.0409404   -0.0441217   -0.0336755   -0.044314   -0.0505857   -0.055613   -0.046203   -0.0623372   -0.0572244   -0.00346703   -0.0507819   -0.0532477   -0.0565465   -0.0571097   -0.0432753   -0.0426973   -0.0206032   -0.00883282   0.0172937   0.00350013   0.00548057   -0.0106646   -0.0122598   -0.00831253   -0.0156894   -0.00998709   -0.00122438   -0.00260182   -0.000903783   -0.000404835   0.000351772   -0.00144127   -0.00104659   -0.000476787   -0.00103537   -0.000822648   -0.00117156   -0.00204604   -0.00269974   -0.00309674   -0.00324951   -0.00326393   -0.00306953   -0.00481565   -0.00467987   -0.00435848   0.00139352   -0.00701649   -0.00766497   -0.009434   -0.0070332   -0.00700219   -0.00652813   -0.00853913   -0.00700424   -0.00534955   -0.00789186   -0.00117107   -0.00514487   -0.00393231   0.000479196   0.0040613   0.00218006   -0.00154352   -0.000314529   -0.000218631   -0.000155881   0.00417853   0.00488552   0.00994327   0.00647057   0.000410212   -0.00177335   -0.00196127   0.00526916   0.000389006   -0.00326624   -0.00290112   4.37976e-05   0.00547764   0.000941567   0.00029242   -0.00561272   -0.00100838   -0.00512877   -0.00207477   -0.00442273   -0.0027967   -0.00588023   -0.00272764   0.00552995   -0.0018382   -0.00257566   -0.00739633   -0.00743991   -0.00979774   -0.00958426   -0.0111234   -0.00852158   -0.0125519   -0.0129626   -0.00153894   0.00161902   -0.00513816   -0.00527501   0.0027123   -0.00247534   -0.00225168   0.00155729   -0.00103165   0.00163116   0.00557171   0.00418442   0.0045622   0.000952057   0.00221753   0.000722287   -0.000588324   0.000119455   -0.000228388   -0.000245596   0.000272391   -0.000560854   -4.51709e-06   -0.00156483   -0.000706784   -0.000900543   -0.00158702   -0.00213959   0.000726407   -0.00220668   -0.00199794   -0.00298545   0.00125128   0.00224528   0.00256374   -0.00144415   0.00174485   0.00425569   0.000225434   8.24013e-06   -0.911538   0.0314801   0.362696   -0.651988   -0.491093   1   
