NUISANCE_PARAMETERS
BB  0.670824 +0.0523218 -0.0523218
gamma_stat_nmjmeanSd0_bin_12  1.01413 +0.0413982 -0.0413982
gamma_stat_nmjmeanSd0_bin_13  0.994355 +0.0360803 -0.0360803
gamma_stat_nmjmeanSd0_bin_14  0.996564 +0.031738 -0.031738
gamma_stat_nmjmeanSd0_bin_15  0.999552 +0.026779 -0.026779
gamma_stat_nmjmeanSd0_bin_16  1.00206 +0.0213237 -0.0213237
gamma_stat_nmjmeanSd0_bin_2  0.963737 +0.138403 -0.138403
gamma_stat_nmjmeanSd0_bin_25  0.99507 +0.0199265 -0.0199265
gamma_stat_nmjmeanSd0_bin_26  1.0093 +0.0229378 -0.0229378
gamma_stat_nmjmeanSd0_bin_27  1.00664 +0.0246117 -0.0246117
gamma_stat_nmjmeanSd0_bin_28  1.02534 +0.0289768 -0.0289768
gamma_stat_nmjmeanSd0_bin_29  1.00676 +0.0294866 -0.0294866
gamma_stat_nmjmeanSd0_bin_3  0.993853 +0.106699 -0.106699
gamma_stat_nmjmeanSd0_bin_30  1.00641 +0.0343795 -0.0343795
gamma_stat_nmjmeanSd0_bin_31  0.987037 +0.0372557 -0.0372557
gamma_stat_nmjmeanSd0_bin_32  1.0042 +0.0401872 -0.0401872
gamma_stat_nmjmeanSd0_bin_33  1.01036 +0.0426553 -0.0426553
gamma_stat_nmjmeanSd0_bin_34  1.00715 +0.0480034 -0.0480034
gamma_stat_nmjmeanSd0_bin_35  1.01959 +0.0494874 -0.0494874
gamma_stat_nmjmeanSd0_bin_36  0.995926 +0.0549347 -0.0549347
gamma_stat_nmjmeanSd0_bin_37  1.00541 +0.054914 -0.054914
gamma_stat_nmjmeanSd0_bin_38  0.976279 +0.0692766 -0.0692766
gamma_stat_nmjmeanSd0_bin_39  1.00528 +0.0677248 -0.0677248
gamma_stat_nmjmeanSd0_bin_4  1.11764 +0.12099 -0.12099
gamma_stat_nmjmeanSd0_bin_40  0.964534 +0.0739305 -0.0739305
gamma_stat_nmjmeanSd0_bin_41  1.01227 +0.0806364 -0.0806364
gamma_stat_nmjmeanSd0_bin_42  1.00432 +0.11524 -0.11524
gamma_stat_nmjmeanSd0_bin_43  0.99213 +0.0890768 -0.0890768
gamma_stat_nmjmeanSd0_bin_44  1.06055 +0.127996 -0.127996
gamma_stat_nmjmeanSd0_bin_45  0.989614 +0.0942747 -0.0942747
gamma_stat_nmjmeanSd0_bin_46  1.02209 +0.0914723 -0.0914723
gamma_stat_nmjmeanSd0_bin_47  1.00453 +0.0912319 -0.0912319
gamma_stat_nmjmeanSd0_bin_48  1.00894 +0.131847 -0.131847
gamma_stat_nmjmeanSd0_bin_49  0.964785 +0.143548 -0.143548
gamma_stat_nmjmeanSd0_bin_5  1.00958 +0.104741 -0.104741
gamma_stat_nmjmeanSd0_bin_50  0.919996 +0.148245 -0.148245
gamma_stat_nmjmeanSd0_bin_51  0.903942 +0.137181 -0.137181
gamma_stat_nmjmeanSd0_bin_52  1.00299 +0.105701 -0.105701
gamma_stat_nmjmeanSd0_bin_53  1.09512 +0.16059 -0.16059
gamma_stat_nmjmeanSd0_bin_54  0.783866 +0.235295 -0.235295
gamma_stat_nmjmeanSd0_bin_55  1.00889 +0.146262 -0.146262
gamma_stat_nmjmeanSd0_bin_56  1.17715 +0.318122 -0.318122
gamma_stat_nmjmeanSd0_bin_57  0.8493 +0.30692 -0.30692
gamma_stat_nmjmeanSd0_bin_6  1.0362 +0.089108 -0.089108
gamma_stat_nmjmeanSd0_bin_7  1.01254 +0.0945325 -0.0945325
gamma_stat_nmjmeanSd0_bin_8  0.997197 +0.0637363 -0.0637363
gamma_stat_nmjmeanSd0_bin_9  0.99145 +0.0579474 -0.0579474


CORRELATION_MATRIX
151   151
-0.0121215   -0.0101859   -0.0110225   -0.0131627   -0.0214792   -0.022504   -0.0147006   -0.0367582   -0.0139594   -0.0186467   -0.0244901   -0.0432827   -0.0115135   -0.0300123   -0.0309573   -0.030516   -0.0391087   -0.0346629   -0.0435712   -0.0411725   -0.0533679   -0.0476597   -0.0568789   -0.0107741   -0.0607358   -0.0661283   -0.063912   -0.0757683   -0.0655372   -0.0964151   -0.0867122   -0.0937745   -0.0908611   -0.0829156   -0.0169068   -0.0915676   -0.103757   -0.0851676   -0.0963932   -0.0809797   -0.00892983   5.50856e-05   -0.00124439   0.00211035   -0.00877699   -0.00836308   -0.00587953   -0.0183808   -0.0109201   -0.00532385   0.00143748   -0.00257374   -0.000163767   -0.00106512   0.000899487   0.0011823   -0.00115771   -0.00201021   -0.00533627   -0.00268863   -0.00353819   -0.00503341   -0.00814955   -0.00714174   -0.0137192   -0.0133281   -0.0102666   -0.010012   -0.0124718   -0.0140978   -0.000510021   -0.0152235   -0.0125299   -0.0135599   -0.00811859   -0.0122117   0.00640056   -0.000625238   -0.000408614   0.00400431   0.000735156   0.00448961   0.00134887   -0.00292139   -0.00126875   0.000261672   -0.0054   0.000700435   -0.00626304   -0.00262498   -0.000898349   -0.00262105   -0.00500271   -0.00316613   -0.00329692   -0.00265728   -0.00394549   -0.0043104   -0.00197927   0.0030787   -0.0104222   -0.0068429   -0.00605113   -0.00866993   -0.00380877   -0.0108054   -0.00363253   -0.00238262   -0.010965   0.00560706   -0.00210918   0.00295792   0.00398039   0.00205975   0.00385715   0.00263421   -0.000626001   -0.00163601   0.00545734   -0.00227683   -0.000716457   -0.00277473   -0.000854024   1.0857e-05   -0.00026695   -0.000823097   -0.000129611   -0.00171013   -0.00100435   -0.00339525   -0.00202555   -0.00242137   -0.00470667   -0.00463025   -0.00342506   -0.00557251   -0.00310627   -0.000925023   -0.00129025   -0.00245601   -7.53423e-05   0.00621312   0.0099988   -0.000173711   -0.000397029   -0.944375   0.123246   0.356212   -0.687764   -0.493013   1   
0.000807103   0.000860848   -0.000953632   0.00265439   0.00863001   0.00847706   0.00733444   0.0180505   0.00716399   0.00938638   0.0119521   0.0219886   -0.000405884   0.0134681   0.0153664   0.0187503   0.023425   0.0147936   0.021411   0.0182858   0.0271519   0.0260028   0.0290146   0.00299662   0.0334767   0.0280698   0.0327909   0.0347173   0.0309394   0.0472361   0.0418956   0.049868   0.044267   0.0414864   0.00703159   0.0473357   0.0503665   0.0430354   0.0493978   0.041269   -0.00243048   -0.00283122   -0.00856984   -0.0118979   -0.0081475   0.0003317   -0.00919234   0.00511355   0.000454226   0.00389292   -0.000919088   0.00127659   -0.000366193   -0.00184122   -0.00210322   -0.00215278   0.00126491   0.00205356   0.00517979   0.000922167   0.00361539   0.00514794   0.00963787   0.00706055   0.0132847   0.014297   0.0115248   0.0127578   0.01418   0.0142793   -0.000536486   0.0169522   0.0151955   0.0168344   0.0143845   0.0172683   -0.00671585   0.000430709   0.000213844   -0.0270756   -0.0236749   -0.0277198   -0.0185599   -0.00119918   -0.00381182   -0.00809041   -0.00477096   -0.0150587   -0.0214038   -0.00857117   -0.0114246   -0.0142467   -0.0149884   -0.0133611   -0.0102279   -0.0145181   -0.0176702   -0.0251119   -0.0256803   -0.0240306   -0.0235547   -0.0344125   -0.0361906   -0.0376255   -0.0439241   -0.0381743   -0.0484483   -0.0590484   -0.0595439   -0.0219826   -0.0078902   -0.00677242   -0.0233514   -0.0225524   -0.0259983   -0.0276111   -0.015473   -0.00998645   -0.00284637   0.00122584   -0.00240649   -0.000775368   -0.00175665   -0.00187252   8.08922e-05   -0.000182816   -0.00183526   0.000183359   -0.00256861   0.000490142   -0.00237225   -0.00330283   -0.00167644   -0.000367271   -0.000615886   0.000160524   -0.00202616   -0.00121946   -0.00217437   -0.00179699   -0.0024051   0.00293423   -0.00296673   -0.00131877   -0.000631332   0.397333   0.377619   -0.710623   0.298553   1   -0.493013   
0.00379919   0.00454797   0.00436094   0.00378986   0.0138737   0.00811607   0.0103472   0.0276269   0.00814397   0.01372   0.0160155   0.0320181   0.00753573   0.0225286   0.0252038   0.0185285   0.0295962   0.022416   0.0266667   0.0241125   0.037739   0.0330065   0.0405197   0.0128709   0.045025   0.0429632   0.0381682   0.0481952   0.0392034   0.0658071   0.05454   0.059819   0.0545092   0.0389979   0.014026   0.0464665   0.0460264   0.0259452   0.027948   -0.00342195   0.0067263   -0.0329027   -0.0231945   -0.0236888   -0.00836808   -0.00599649   -0.0076149   0.010362   0.00981855   0.00619784   -0.00157561   0.00339012   0.00125792   0.00351803   -0.000553079   -0.00114747   0.00128852   0.00224499   0.00598957   0.00376802   0.00405588   0.00568439   0.00835425   0.00811271   0.0154258   0.0149926   0.0110715   0.0104695   0.0128138   0.0155073   0.000977299   0.0165715   0.0130253   0.0131155   0.00583137   0.0109872   -0.00701797   0.000772963   0.000656032   -0.00337765   0.00213797   0.000493922   0.00180353   0.00288476   0.00133311   -0.00278299   0.00431599   0.000778341   0.00720571   0.00225426   0.00163818   0.00218725   0.00488163   0.00328348   0.00263182   0.00369611   0.00483025   0.00586557   0.00164961   -0.000320772   0.00951286   0.00770067   0.00404028   0.00769443   0.00240466   0.00933748   0.00405172   0.00446614   0.0105083   -0.000630457   0.0042906   -0.000454459   -0.00253948   0.00392546   0.000767542   -0.00102261   0.00315578   0.00232045   -0.00634489   0.00355394   0.00249797   0.00481144   0.00202634   0.000894148   0.000351671   0.00133276   0.000954725   0.00247468   0.00268942   0.00486848   0.00386991   0.00501117   0.00813919   0.00715445   0.00524693   0.00850267   0.00530443   0.00190283   0.00277755   0.00436567   0.00115359   -0.00949943   -0.013218   0.0009924   0.000836679   0.593391   -0.168985   -0.528123   1   0.298553   -0.687764   
0.000763238   -0.00151137   0.00333392   0.00124756   -0.00339266   0.00131962   -0.0053368   -0.0132875   -0.00450845   -0.00750437   -0.00749218   -0.0168004   0.00148378   -0.0103176   -0.0130367   -0.0143129   -0.0216227   -0.00942236   -0.0131577   -0.0101048   -0.0208833   -0.0209763   -0.022878   -0.00671407   -0.0285211   -0.0161725   -0.0210233   -0.0223507   -0.0186294   -0.033675   -0.0277967   -0.0363907   -0.0275138   -0.0198246   -0.00754727   -0.0272365   -0.0222271   -0.0139964   -0.015777   0.00441771   0.00329852   0.0176592   0.0184408   0.0218845   0.0145633   0.00216228   0.0157726   -0.00605857   -0.00133679   -0.00700339   0.000663445   -0.00134387   -0.00124451   -0.000975867   0.0016172   0.00206086   -0.00122198   -0.00194625   -0.00491596   -0.00154455   -0.00365075   -0.0050198   -0.00850882   -0.00688261   -0.0124659   -0.0139783   -0.0106418   -0.0118865   -0.0121954   -0.0131764   0.00021233   -0.0157426   -0.0137163   -0.0135403   -0.010345   -0.0132639   0.00645379   -0.000473384   -0.000465516   0.0152206   0.0125588   0.0152133   0.00836998   -0.000379148   0.00256523   0.00774315   0.0024261   0.0106945   0.0139509   0.00445409   0.0074922   0.0106741   0.0102995   0.00879487   0.0061026   0.00817548   0.0106121   0.016327   0.017562   0.0164859   0.0153794   0.0234027   0.0258868   0.0256979   0.0314447   0.0260131   0.0329875   0.0389649   0.0372825   0.0130458   0.00196596   -0.0257785   -0.00129912   -0.00231434   0.00612369   0.0128487   0.00891047   0.00629758   0.00221114   -0.00248901   0.000592527   -0.000916938   0.000765197   0.000929441   -0.00010562   -0.000173414   0.00105737   -0.000605562   0.0010449   -0.0012932   0.00105104   0.00125282   -0.000934804   -0.00128678   -0.000450834   -0.00212352   0.000562033   0.000429768   0.000939009   0.000410972   0.001307   -0.000637192   0.00464347   0.000444425   0.000362284   -0.265725   -0.66362   1   -0.528123   -0.710623   0.356212   
-0.00430127   -0.0016747   -0.00835669   -0.00481472   -0.00761073   -0.00852533   -0.00212569   -0.00726819   -0.00112115   -0.00226079   -0.00448364   -0.00678243   -0.00842291   -0.0060377   -0.00577862   0.0013634   0.00134258   -0.00658231   -0.0065673   -0.00738977   -0.00706254   -0.00243273   -0.00655319   -0.00286016   -0.00380139   -0.0163156   -0.00685027   -0.0125521   -0.0101514   -0.0144988   -0.0119198   -0.00701782   -0.013357   -0.0102049   -0.00264666   -0.00697822   -0.0126311   -0.00695115   -0.00749587   -0.00763347   -0.00900569   -0.000927472   -0.00656367   -0.00939532   -0.0109067   0.00161451   -0.0126628   -0.00108595   -0.00573751   0.00290261   0.000656705   -0.00137227   0.000815897   -0.000857048   -0.000947773   -0.00107925   0.000204111   0.000164429   0.000211123   -0.00111283   0.000539417   0.000578061   0.00172845   0.000547113   0.00018845   0.00219635   0.00173609   0.0034756   0.0016418   0.000825203   -0.000846382   0.0023697   0.00313218   0.00218669   0.00439885   0.00312803   -0.000993044   -9.49476e-05   4.28743e-05   -0.00696536   -0.00931297   -0.0108922   -0.00545387   -0.00091532   -0.00287999   -0.00464164   -0.00398244   -0.00925602   -0.0156194   -0.00374916   -0.00669467   -0.0101274   -0.0110471   -0.00878921   -0.0055142   -0.00768681   -0.0103431   -0.0161257   -0.0140103   -0.0129829   -0.017293   -0.0228285   -0.0223322   -0.0243755   -0.0256823   -0.0254009   -0.0272846   -0.0319868   -0.03343   -0.00948983   -0.0027306   0.0372026   0.0121531   0.00836919   0.000727218   -0.00569173   -0.0086329   -0.00611883   0.00289709   0.000209137   -0.00187188   -0.00213131   -0.00191311   -0.00127197   -0.000149461   -0.000710047   -0.00147463   -0.0011144   -0.00251266   -0.00209894   -0.00345567   -0.00429158   -0.00438727   -0.00351999   -0.00308393   -0.00362124   -0.00397057   -0.00156721   -0.0024869   -0.00313635   -0.00168569   0.00641019   0.00438419   -0.000893722   -0.000937443   -0.131878   1   -0.66362   -0.168985   0.377619   0.123246   
0.0125464   0.0104192   0.0113934   0.0134169   0.020487   0.0222235   0.013845   0.0344132   0.0133299   0.0174991   0.0232123   0.0405478   0.0114898   0.0282407   0.0287736   0.0288367   0.0363562   0.0331082   0.041526   0.0395391   0.0502452   0.0448345   0.0535215   0.00984723   0.0567584   0.0630893   0.0609389   0.0722549   0.0627003   0.0911551   0.0825974   0.0888952   0.0868111   0.080354   0.0158741   0.0882907   0.101021   0.0841825   0.0953902   0.0831811   0.00896381   0.00421658   0.00496219   0.00165184   0.0111793   0.00982782   0.00799565   0.0181795   0.0105217   0.00473541   -0.00911909   -0.00684016   -0.00532678   -0.00359402   -0.00501708   -0.00383263   0.000271139   0.00038007   0.001133   -0.000739645   0.000680299   0.000791582   0.000304135   0.00151007   0.00202134   0.00248764   -0.000210044   -0.000785057   -0.000679728   0.00017214   -0.000843386   4.94492e-05   -0.00246422   -0.00464935   -0.00927231   -0.0102748   -0.0151659   -0.000800225   -0.000153041   -0.00107477   0.00139493   -0.00205376   0.000296778   0.00294587   0.00157347   0.000807398   0.00578058   0.000600891   0.00795783   0.00344649   0.00189089   0.00391585   0.00624084   0.00432275   0.00426685   0.00388324   0.0054253   0.00638888   0.00445748   -0.000932429   0.0123705   0.00977523   0.00954555   0.012079   0.00808586   0.0142284   0.00817597   0.00786266   0.0164979   -0.00375516   0.00262161   -0.00118533   -0.000926929   0.000196696   -0.00123721   0.000260944   0.00184304   0.00246536   -0.0136273   -0.0058726   -0.00597594   -0.00331675   -0.00398025   -0.00245539   -0.000160236   -0.000397029   -0.00224823   -0.000673612   -0.00388731   -0.00153216   -0.00365988   -0.00344973   -0.00280463   -0.00368073   -0.00498873   -0.00430635   -0.00622311   -0.00209387   -0.0087177   -0.00939065   -0.0115255   -0.0234028   -0.0222691   -0.00108094   -0.000397929   1   -0.131878   -0.265725   0.593391   0.397333   -0.944375   
